label,groups,query,bench_time,result_set,exec_time
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.415146,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.347, ""Actual Total Time"": 51.414, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 1.23, ""Actual Total Time"": 45.338, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 1.202, ""Actual Total Time"": 42.304, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.011, ""Actual Total Time"": 0.011, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.465, ""Triggers"": [], ""Execution Time"": 51.472}]]]",57119500
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.471474,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.744, ""Actual Total Time"": 52.188, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 0.728, ""Actual Total Time"": 45.213, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 0.643, ""Actual Total Time"": 41.939, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.011, ""Actual Total Time"": 0.011, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.513, ""Triggers"": [], ""Execution Time"": 52.259}]]]",56267700
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.528221,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.604, ""Actual Total Time"": 82.195, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 1.042, ""Actual Total Time"": 73.455, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 0.977, ""Actual Total Time"": 67.996, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.02, ""Actual Total Time"": 0.02, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.602, ""Triggers"": [], ""Execution Time"": 82.287}]]]",87679200
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.615802,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 2.455, ""Actual Total Time"": 63.361, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 1.197, ""Actual Total Time"": 54.904, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 1.156, ""Actual Total Time"": 51.435, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.012, ""Actual Total Time"": 0.012, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.863, ""Triggers"": [], ""Execution Time"": 63.439}]]]",68296300
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.684537,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 2.089, ""Actual Total Time"": 59.388, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 1.822, ""Actual Total Time"": 51.44, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 1.636, ""Actual Total Time"": 47.906, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.013, ""Actual Total Time"": 0.013, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.492, ""Triggers"": [], ""Execution Time"": 59.46}]]]",63880600
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.748507,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.747, ""Actual Total Time"": 57.975, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 1.249, ""Actual Total Time"": 51.603, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 1.214, ""Actual Total Time"": 48.173, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.012, ""Actual Total Time"": 0.012, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.582, ""Triggers"": [], ""Execution Time"": 58.04}]]]",63524500
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.812122,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.416, ""Actual Total Time"": 43.813, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 0.8, ""Actual Total Time"": 38.115, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 0.639, ""Actual Total Time"": 35.671, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.009, ""Actual Total Time"": 0.009, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.471, ""Triggers"": [], ""Execution Time"": 43.87}]]]",47388900
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.859472,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.69, ""Actual Total Time"": 48.642, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 0.783, ""Actual Total Time"": 41.706, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 0.723, ""Actual Total Time"": 38.755, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.011, ""Actual Total Time"": 0.011, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.57, ""Triggers"": [], ""Execution Time"": 48.71}]]]",52382200
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.911733,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.523, ""Actual Total Time"": 47.39, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 0.976, ""Actual Total Time"": 41.293, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 0.946, ""Actual Total Time"": 38.528, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.01, ""Actual Total Time"": 0.01, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.613, ""Triggers"": [], ""Execution Time"": 47.448}]]]",51255000
regexp_like_1.sql,['string_operations'],"SELECT p.id, p.body, c.text FROM posts p JOIN comments c ON c.postid = p.id WHERE c.text LIKE '%https://%' AND p.body NOT LIKE '%https://%'",2025-03-09 21:26:24.963234,"[[[{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Async Capable"": false, ""Startup Cost"": 1000.29, ""Total Cost"": 11807.94, ""Plan Rows"": 1738, ""Plan Width"": 1057, ""Actual Startup Time"": 1.705, ""Actual Total Time"": 48.156, ""Actual Rows"": 694, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Async Capable"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.29, ""Total Cost"": 10634.14, ""Plan Rows"": 724, ""Plan Width"": 1057, ""Actual Startup Time"": 0.704, ""Actual Total Time"": 41.727, ""Actual Rows"": 231, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Async Capable"": false, ""Relation Name"": ""comments"", ""Alias"": ""c"", ""Startup Cost"": 0.0, ""Total Cost"": 7259.84, ""Plan Rows"": 733, ""Plan Width"": 236, ""Actual Startup Time"": 0.614, ""Actual Total Time"": 38.849, ""Actual Rows"": 258, ""Actual Loops"": 3, ""Filter"": ""(text ~~ '%https://%'::text)"", ""Rows Removed by Filter"": 57844, ""Workers"": []}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Async Capable"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""posts_pkey"", ""Relation Name"": ""posts"", ""Alias"": ""p"", ""Startup Cost"": 0.29, ""Total Cost"": 4.6, ""Plan Rows"": 1, ""Plan Width"": 825, ""Actual Startup Time"": 0.01, ""Actual Total Time"": 0.01, ""Actual Rows"": 1, ""Actual Loops"": 773, ""Index Cond"": ""(id = c.postid)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(body !~~ '%https://%'::text)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Settings"": {}, ""Planning Time"": 0.462, ""Triggers"": [], ""Execution Time"": 48.219}]]]",51911600
